Time_(hours),Parent_Population,Daughter_Population,Granddaughter_Population
0.,1000000.0000,-.0000,-.0000
1.,994240.3750,5747.7949,11.8028
2.,988514.0000,11438.6367,47.3547
3.,982820.5625,17073.3613,106.0667
4.,977160.0000,22651.7598,188.2603
5.,971531.9375,28175.0840,292.9863
6.,965936.3125,33643.1250,420.5701
7.,960372.9375,39056.5078,570.5661
8.,954841.6250,44415.6484,742.7341
9.,949342.1250,49720.7617,937.1050
10.,943874.3125,54972.6758,1153.0358
11.,938438.0000,60171.3906,1390.5959
12.,933033.0000,65317.5352,1649.4679
13.,927659.1250,70411.5312,1929.3726
14.,922316.1875,75453.3672,2230.4341
15.,917004.0625,80443.8828,2552.0635
16.,911722.5000,85383.5000,2894.0278
17.,906471.3750,90272.0000,3256.6223
18.,901250.5000,95110.4375,3639.0713
19.,896059.6250,99899.2266,4041.1274
20.,890898.6875,104638.1484,4463.1313
21.,885767.5000,109327.8438,4904.6489
22.,880665.8750,113968.7188,5365.3545
23.,875593.6250,118561.4062,5845.0010
24.,870550.5625,123105.9062,6343.5254
25.,865536.5625,127602.6250,6860.8042
26.,860551.4375,132052.2031,7396.3726
27.,855595.0625,136454.4219,7950.5093
28.,850667.1875,140810.3281,8522.4707
29.,845767.6875,145120.1406,9112.1631
30.,840896.4375,149383.6250,9719.9590
31.,836053.1875,153602.0469,10344.7412
32.,831237.9375,157774.7969,10987.2871
33.,826450.3125,161903.0938,11646.6035
34.,821690.3125,165986.5625,12323.1240
35.,816957.6875,170025.9844,13016.2900
36.,812252.3750,174021.4062,13726.1660
37.,807574.1250,177973.6406,14452.1914
38.,802922.8750,181882.4844,15194.5840
39.,798298.3750,185748.5625,15953.0654
40.,793700.5000,189572.0781,16727.3887
41.,789129.1250,193353.6719,17517.1777
42.,784584.1250,197093.1094,18322.7773
43.,780065.2500,200791.0469,19143.6914
44.,775572.3750,204448.0938,19979.5469
45.,771105.4375,208064.0312,20830.5293
46.,766664.1250,211639.5156,21696.3281
47.,762248.5000,215174.5156,22576.9453
48.,757858.2500,218669.6719,23472.0703
49.,753493.3750,222125.1875,24381.4551
50.,749153.5625,225541.4844,25304.9746
51.,744838.6875,228918.9844,26242.2578
52.,740548.8125,232257.4688,27193.7383
53.,736283.5625,235557.5625,28158.9199
54.,732042.8750,238819.7031,29137.4316
55.,727826.6250,242043.8594,30129.5215
56.,723634.6250,245230.6875,31134.6934
57.,719466.8125,248380.1719,32153.0078
58.,715323.0000,251492.7188,33184.2773
59.,711203.0000,254568.9688,34228.0117
60.,707106.7500,257608.5156,35284.7031
61.,703034.1875,260611.9688,36353.8555
62.,698985.0000,263579.7500,37435.2852
63.,694959.1250,266512.0625,38528.8633
64.,690956.4375,269409.3125,39634.2852
65.,686976.8750,272271.0938,40752.0430
66.,683020.1250,275098.9062,41880.9648
67.,679086.1875,277891.8438,43021.9102
68.,675174.9375,280651.0000,44174.0781
69.,671286.2500,283376.1562,45337.5898
70.,667419.9375,286067.7188,46512.3242
71.,663575.8750,288725.9062,47698.1562
72.,659754.0000,291351.1562,48894.9023
